Name,Firm Name,Branding Name,Holdings,Global Category,Morningstar Rating,Domicile,Fund Legal Structure,Equity Style,Inception Date,Manager Name,Manager Tenure,Net Assets Date,Net Assets Size,Net Assets Share Class
AMP IL no E Fee NZ Share (RN),AMP Group,AMP,59,New Zealand Equity,3,New Zealand,Open Ended Investment Company,Mid Growth,3/02/1993,,,,135202.5,81121.5
AMP KiwiSaver AMP Income Generator,AMP Group,AMP,689,Moderate Allocation,,New Zealand,Open Ended Investment Company,Mid Blend,28/07/2016,,,28/02/2017,861.923,517.154
AMP KiwiSaver ANZ Balanced Plus,AMP Group,AMP,1544,Aggressive Allocation,3,New Zealand,Open Ended Investment Company,Large Growth,1/10/2007,,,28/02/2017,146665.955,87999.573
AMP Prem PSS OnePath NZ Shares,AMP Group,AMP,125,Australia & New Zealand Equity,3,New Zealand,Open Ended Investment Company,Mid Growth,9/08/2004,,,28/02/2017,3176.42,1905.852
ANZ Default KiwiSaver Scheme Cnsrv(Dflt),ANZ New Zealand Investments Limited,ANZ,1024,Cautious Allocation,4,New Zealand,Open Ended Investment Company,Mid Growth,1/10/2007,Stuart Millar,9.42,15/03/2017,705818.111,423490.867
ANZ Default KiwiSaver Scheme-Balanced,ANZ New Zealand Investments Limited,ANZ,1543,Allocation,3,New Zealand,Open Ended Investment Company,Large Growth,1/10/2007,Stuart Millar,9.42,15/03/2017,60180.495,36108.297
ANZ Default KiwiSaver Scheme-Balanced Gr,ANZ New Zealand Investments Limited,ANZ,1543,Aggressive Allocation,3,New Zealand,Open Ended Investment Company,Large Growth,1/10/2007,Stuart Millar,9.42,15/03/2017,65818.65,39491.19
ANZ Default KiwiSaver Scheme-Cnsrv Bal,ANZ New Zealand Investments Limited,ANZ,1543,Moderate Allocation,4,New Zealand,Open Ended Investment Company,Large Growth,1/10/2007,Stuart Millar,9.42,15/03/2017,20822.57,12493.542
ANZ Default KiwiSaver Scheme-Growth,ANZ New Zealand Investments Limited,ANZ,1543,Aggressive Allocation,5,New Zealand,Open Ended Investment Company,Large Growth,1/10/2007,Stuart Millar,9.42,15/03/2017,54510.663,32706.398
ANZ KiwiSaver-Balanced,ANZ New Zealand Investments Limited,ANZ,1543,Allocation,4,New Zealand,Open Ended Investment Company,Large Growth,1/10/2007,Stuart Millar,9.42,15/03/2017,1115543.339,669326.003
ANZ KiwiSaver-Balanced Growth,ANZ New Zealand Investments Limited,ANZ,1544,Aggressive Allocation,4,New Zealand,Open Ended Investment Company,Large Growth,1/10/2007,Stuart Millar,9.42,15/03/2017,927431.575,556458.945
ANZ KiwiSaver-Conservative,ANZ New Zealand Investments Limited,ANZ,1543,Cautious Allocation,4,New Zealand,Open Ended Investment Company,Large Growth,1/10/2007,Stuart Millar,9.42,15/03/2017,433189.839,259913.903
ANZ KiwiSaver-Conservative Balanced,ANZ New Zealand Investments Limited,ANZ,1543,Moderate Allocation,4,New Zealand,Open Ended Investment Company,Large Growth,1/10/2007,Stuart Millar,9.42,15/03/2017,525664.141,315398.485
